DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,COD_INE,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasifica,porc_i.CSV,latitude,longitude,area_km2,area_ha
Beni,Yacuma,Exaltación,"080402",80402,"25","59","16","68","21","72","9","0","46","1","15","6","9","43","36","37","30","41",Alto,"46",-12.80396,-65.78318,24919.66,2491966.48
Beni,General Jose Balliv,Santa Rosa,"080303",80303,"15","48","12","61","6","72","0","4","0","3","17","0","11","41","33","35","22","44",Bajo,"32",-13.31880,-66.66145,9497.75,949774.74
Beni,General Jose Balliv,Reyes,"080301",80301,"19","54","13","60","7","72","9","0","0","0","16","0","9","48","36","40","29","45",Medio,"35",-13.40290,-67.05806,11899.75,1189974.62
Beni,Vaca Diez,Guayaramerín,"080202",80202,"24","59","16","61","11","72","0","13","0","24","17","0","9","44","30","37","28","46",Alto,"41",-11.30891,-65.43499,6488.61,648861.44
Pando,Federico Roman,Nuevo Manoa,"090501",90501,"22","56","15","62","18","72","0","26","30","1","18","7","18","47","23","33","21","43",Alto,"45",-10.11130,-65.53780,3646.74,364674.14
Pando,Nicolas Suarez,Mukden,"090103",90103,"25","57","15","64","9","64","0","85","19","54","18","0","17","52","26","36","23","43",Muy Alto,"63",-11.17016,-69.22622,2476.80,247679.94
Pando,Nicolas Suarez,Campo Ana Porvenir,"090102",90102,"28","64","20","66","15","64","0","0","0","0","15","0","18","43","25","33","24","41",Medio,"35",-11.23823,-68.79337,1074.11,107410.77
Pando,Manuripi,Arroyo Grande,"090203",90203,"30","67","21","63","51","72","9","0","0","4","15","24","11","42","34","37","30","43",Alto,"48",-11.75601,-68.53279,11758.64,1175864.23
Pando,Manuripi,Victoria,"090201",90201,"14","40","10","65","12","72","0","32","2","46","14","24","13","42","33","37","29","44",Muy Alto,"50",-11.32769,-67.53797,5252.09,525208.57
Pando,Abuná,Ingavi,"090402",90402,"30","59","16","65","10","64","0","8","14","12","15","0","17","41","33","35","20","45",Medio,"39",-10.50458,-66.74732,5417.69,541768.58
Pando,Federico Roman,Villa Nueva,"090502",90502,"16","40","10","62","4","72","0","49","1","20","15","0","12","46","37","37","22","44",Alto,"44",-10.65095,-66.10549,2820.64,282063.90
Tarija,Gran Chaco,Villa Montes,"060303",60303,"13","40","7","57","4","73","64","0","8","0","9","0","8","41","30","35","25","44",Alto,"44",-21.40095,-62.91176,10839.55,1083954.88
Pando,Nicolas Suarez,Costa rica,"090104",90104,"25","61","18","70","13","70","0","5","19","4","16","0","19","47","29","36","25","43",Medio,"40",-10.93210,-67.93146,5223.70,522370.12
Pando,Abuná,Nacebe,"090401",90401,"25","57","15","62","9","64","0","10","2","33","14","0","19","43","30","36","29","41",Alto,"41",-10.73161,-67.27884,4405.01,440501.18
Beni,Mamore,Puerto Siles,"080703",80703,"18","54","13","64","7","72","0","37","13","15","14","0","9","49","28","37","29","43",Alto,"44",-12.42419,-64.98634,2084.89,208488.64
Beni,Mamore,San Joaquín,"080701",80701,"17","52","12","68","14","72","9","20","13","39","18","0","10","43","36","37","29","43",Alto,"48",-12.96083,-64.85573,8678.26,867825.56
Beni,Itenez,Magdalena,"080801",80801,"20","58","15","67","10","72","0","11","5","2","14","0","10","42","35","37","28","44",Medio,"37",-12.99480,-63.68753,14102.05,1410205.33
Beni,Mamore,San Ramón,"080702",80702,"9","49","12","64","25","72","9","0","0","2","10","0","7","43","24","36","30","46",Medio,"35",-13.50810,-64.59984,7990.88,799087.79
Santa Cruz,Manuel María Caballero,Comarapa,"071301",71301,"26","61","24","68","13","32","10","39","1","2","15","21","13","44","33","38","34","42",Alto,"44",-17.80237,-64.43201,3318.16,331815.55
Cochabamba,Carrasco,Puerto Villarroel,"031205",31205,"20","54","25","60","15","66","52","16","1","2","16","0","12","44","35","38","28","46",Muy Alto,"50",-17.03257,-64.88456,1978.42,197841.59
La Paz,Inquisivi,Inquisivi,"021001",21001,"22","59","19","70","43","59","20","0","0","0","13","0","16","42","35","37","28","45",Alto,"43",-16.68322,-66.97797,3289.08,328908.43
